Surf 350 Ave ret.time  24.000 ns, #hopping 1 
Surf 351 Ave ret.time  49.960 ns, #hopping 0 
Surf 352 Ave ret.time  49.960 ns, #hopping 0 
Surf 353 Ave ret.time  49.960 ns, #hopping 0 
Surf 354 Ave ret.time  49.960 ns, #hopping 0 
Surf 355 Ave ret.time  49.960 ns, #hopping 0 
Surf 356 Ave ret.time  49.960 ns, #hopping 0 
Surf 357 Ave ret.time  49.960 ns, #hopping 0 
Surf 358 Ave ret.time  49.960 ns, #hopping 0 
Surf 359 Ave ret.time  49.960 ns, #hopping 0 
Surf 360 Ave ret.time  24.540 ns, #hopping 1 
Surf 361 Ave ret.time  16.480 ns, #hopping 2 
Surf 362 Ave ret.time  24.860 ns, #hopping 1 
Surf 363 Ave ret.time  49.960 ns, #hopping 0 
Surf 364 Ave ret.time  15.907 ns, #hopping 2 
Surf 365 Ave ret.time   7.940 ns, #hopping 5 
Surf 366 Ave ret.time  12.190 ns, #hopping 3 
Surf 367 Ave ret.time  49.960 ns, #hopping 0 
Surf 368 Ave ret.time  49.960 ns, #hopping 0 
Surf 369 Ave ret.time  49.960 ns, #hopping 0 
Surf 370 Ave ret.time  49.960 ns, #hopping 0 
Surf 371 Ave ret.time  12.020 ns, #hopping 3 
Surf 372 Ave ret.time  24.260 ns, #hopping 1 
Surf 373 Ave ret.time  49.960 ns, #hopping 0 
Surf 374 Ave ret.time  49.960 ns, #hopping 0 
Surf 375 Ave ret.time  24.880 ns, #hopping 1 
Surf 376 Ave ret.time  49.960 ns, #hopping 0 
Surf 377 Ave ret.time  49.960 ns, #hopping 0 
Surf 378 Ave ret.time  12.250 ns, #hopping 3 
Surf 379 Ave ret.time  49.960 ns, #hopping 0 
Surf 380 Ave ret.time  24.600 ns, #hopping 1 
Surf 381 Ave ret.time  49.960 ns, #hopping 0 
Surf 382 Ave ret.time  49.840 ns, #hopping 0 
Surf 383 Ave ret.time  49.960 ns, #hopping 0 
Surf 384 Ave ret.time  49.960 ns, #hopping 0 
Surf 385 Ave ret.time  49.960 ns, #hopping 0 
Surf 386 Ave ret.time  16.013 ns, #hopping 2 
